N,R,E
1,1.0,0.0
2,1.2347836857462329,0.7083675307807126
3,1.6042262170303878,0.6905683911365792
4,1.7705926146326225,0.9878597040073163
5,2.008231826176704,0.9674564265450473
6,2.1448245992681363,1.1467899397067678
7,2.404774187615895,1.1542435478194752
8,2.5358158092812615,1.3487801227704315
9,2.624114130917213,1.2884638345520298
10,2.770508201732565,1.4901706574874984
11,2.988625227649282,1.5205878363011247
12,3.0483930911673776,1.5868228827707025
13,3.173176380226993,1.6241559689972778
14,3.267490966387306,1.7512356458689182
15,3.322123736312743,1.754268330247139
16,3.5762034301689885,1.8253711389943712
17,3.6617211698801873,1.8415726627329492
18,3.8414382002793412,2.0519736611340926
19,3.9790900078354103,2.0649478328165913
20,3.9048339179389195,2.021144315823861
21,4.169273434114014,2.1082637858253728
22,4.203166081393178,2.2520497967669684
23,4.3097977274967665,2.1835908938287334
24,4.211328474175454,2.186544578800451
25,4.515114928473344,2.2641446331583643
26,4.451228575959789,2.357700305111647
27,4.56871058610178,2.3509594773245186
28,4.582792779415112,2.3002191963553495
29,4.818351096373284,2.4878255977440316
30,4.831932370484063,2.4930066178482817
31,4.95481491244912,2.4548439853797617
32,4.998959643860857,2.6667232480198577
33,5.039597624616372,2.5655522286133614
34,5.152441576182391,2.749508710630163
35,5.254899008211751,2.7253297873667783
36,5.608747018620168,2.8699301102989416
37,5.429824804046985,2.761977479986661
38,5.369574099530431,2.988785984917892
39,5.514200023751287,2.797890579733126
40,5.687606998974698,2.8921925509618553
41,5.709110897607317,3.0037408029955244
42,5.724045308129215,2.900093208121836
43,5.906052869380925,2.9442584879017364
44,5.823370530869918,3.0751331704262834
45,6.12946948265141,3.2429976048567006
46,6.074821571462389,3.136819953036853
47,6.199399452348014,3.2338852602801738
48,6.17092747343878,3.1281901751134065
49,6.19818107546607,3.2528654916995885
50,6.05071655857769,3.1642088990585786
51,6.444661962377408,3.2707489238516096
52,6.46480405213444,3.4363519720880795
53,6.402325070812996,3.379089214762908
54,6.523855280728726,3.3104005178201663
55,6.311725354837432,3.3916493285933003
56,6.545329509967695,3.413769217090106
57,6.628357440250484,3.43248343359736
58,6.693369481655419,3.471311537016795
59,6.620802883469412,3.604737736288365
60,6.965363611547619,3.64954702239706
61,6.975348716768189,3.666177135622317
62,6.860731964820678,3.574253385505102
63,7.037180421544542,3.61905648012639
64,7.00705690958199,3.6135930345495706
65,7.101514206960998,3.646239770544366
66,7.216197270445911,3.7148921183478523
67,7.406541110677623,3.7407608750918726
68,7.404245728687841,3.7797251665163523
69,7.191603374666308,3.816558887583113
70,7.63809673238913,4.0550139068779
71,7.373309734071051,3.761507393189403
72,7.477481751388295,3.8020197164550176
73,7.767649256462464,4.133798332479065
74,7.7207030184186465,3.9047580778177005
75,7.547434374081085,3.8585321824896313
76,7.734950710032579,4.067764502878685
77,7.8022209503170386,4.066629266441229
78,7.52137240011595,3.9497324182775744
79,7.7193725512544225,4.070957958804627
80,7.943878697184679,4.170094247815014
81,7.91703924694106,4.1452153203370905
82,7.920781362865496,4.092979822120347
83,8.051294983145937,4.179572435484691
84,8.13545245247687,4.215000332963402
85,8.165585445620858,4.278497112841737
86,8.195751863911925,4.257285641881387
87,8.196340291383583,4.312519661829952
88,8.299401268493435,4.27750611023691
89,8.296431899618415,4.384676379475339
90,8.532691244719807,4.438960835871866
91,8.658921365766965,4.538843890490818
92,8.443208779782031,4.286599786137335
93,8.672721130970528,4.442712245082018
94,8.59162089875662,4.627983835579003
95,8.840133246378368,4.4414970708604695
96,8.648731783864926,4.4452939125883875
97,8.711834932876366,4.710099365662827
98,8.827785466349253,4.405482262349152
99,8.66572225731428,4.57462162553877
100,8.954486943956177,4.511871090145294
101,8.782396256324885,4.685017130479624
102,8.923527865236407,4.668299592869732
103,9.059460563616314,4.687120701515704
104,8.9249322169049,4.762765006650723
105,8.928773832048433,4.7314136211055615
106,9.093408463802858,4.742492217489554
107,9.405336715221527,4.881002040009741
108,9.088051986223455,4.904764867635921
109,9.433402469121152,4.914359446910098
110,9.295032363287818,4.925847717783967
111,9.455711324956125,4.78927059816373
112,9.468270011227155,4.89144302404628
113,9.221678536148975,4.832453374933401
114,9.511445246584092,5.01217933942453
115,9.304394281790112,4.8011118812250615
116,9.600205373191818,4.863732399025618
117,9.850708327129775,4.839783982707277
118,9.508794838393074,5.119023690321288
119,9.747500805616616,5.17302757314785
120,9.908520012901091,5.099122707397077
121,9.879718050027261,5.050006180512801
122,9.901132030060523,5.043565416234122
123,10.094488472274094,5.288138026338623
124,9.790540296588444,5.185698219293013
125,10.086005266606662,5.402940889899191
126,10.08010431623169,5.261548105915323
127,10.305196920961885,5.410888959923117
128,9.925798302690902,5.156355940230728
129,9.999085645695638,5.247028162330891
130,10.0736861354045,5.302204116497638
131,10.04313323505294,5.26722035781664
132,10.202602213452538,5.124530708477355
133,10.3632312724529,5.21277671028099
134,10.36957655164539,5.537359842172592
135,10.224798727783286,5.214014237350875
136,10.477190031398175,5.449102452240798
137,10.585214657762995,5.41795015478442
138,10.241308019161478,5.49224231682429
139,10.451628693817579,5.530571498879264
140,10.404860438772557,5.372580211492
141,10.3694691371033,5.223751901122104
142,10.462009061796238,5.464696950177961
143,10.381768421733454,5.310753554999097
144,10.685172382227014,5.574846926441582
145,10.311976860470267,5.758627993051376
146,10.643723671373733,5.560742536194774
147,10.605566391090324,5.494950726412342
148,10.814663937218281,5.624952174814948
149,10.917306644187397,5.588759079833242
150,10.801321183335702,5.602391645995294
151,11.146295540339691,5.656222752255332
152,10.914770343358711,5.663449138121479
153,10.801958583781664,5.805687594507638
154,11.105345258649397,5.796548800180978
155,10.94216998593786,5.874536995784391
156,11.129307309787453,5.811252646643052
157,11.148128984684536,5.7882587503477545
158,11.129521299279284,5.903210093206715
159,11.444923934720462,5.733736115709474
160,11.457878011312953,5.979443829433385
161,11.225461242559804,5.7668023125194345
162,11.615086767165854,5.705159870731045
163,11.52681402118009,6.0808462469994415
164,11.254365372468783,5.996548951108344
165,11.424154572804934,5.963151934082911
166,11.470277422460713,5.952408637487837
167,11.308746727749028,5.839636948909861
168,11.501189538852788,6.0483354594941705
169,11.242741267439698,5.9007939772713485
170,11.287347623465243,5.806408477766663
171,11.595917691924207,6.32686554108757
172,11.644878874213617,6.11712291857032
173,11.32704331220735,6.0430776838612745
174,11.229837823324237,5.798847575535867
175,11.472406782876238,6.0910808967558046
176,12.091627650678584,6.4360184351897605
177,11.883801322481535,6.239794980118649
178,12.073751794206753,6.246498389457978
179,12.071876442342091,6.414754006194382
180,11.727732816594711,6.249379430435477
181,11.775045667428913,6.258645846306817
182,11.837985245890517,6.118493885213627
183,12.150427165897781,6.368711549905475
184,11.918215365849644,6.288250840712277
185,11.899935759548875,6.182468798750914
186,11.680353014584506,5.934216275814468
187,12.021896983965892,6.101349596590801
188,12.459719754411381,6.297788423341348
189,11.97269140540788,6.403148848135824
190,12.01468574690384,6.168060775442217
191,12.260702905029442,6.449948793508147
192,12.149980155590768,6.514626635577
193,12.472308814437728,6.427048650052081
194,12.396081561216183,6.4947285616570465
195,12.482934735813823,6.501501112957999
196,12.338630779769918,6.407647670635058
197,12.533395797270531,6.511674422047709
198,12.436644970408132,6.359496186169322
199,12.311543179822207,6.405882486894734
200,12.62177718204989,6.467567665471419
201,12.234224478499673,6.3402740604085155
202,12.504237629692346,6.4221246750188605
203,12.537090731225227,6.628210720324415
204,12.582220706837091,6.861152221494896
205,12.20416757526345,6.5120159773055795
206,12.848217073931577,7.118162778354696
207,12.790453542897293,6.7965949169531275
208,12.504810093442641,6.6227905184644005
209,12.71072452490067,6.518966139975015
210,13.24165302575924,6.788319657363417
211,12.976817817061455,6.725682236185349
212,12.740746888391971,6.778572275535332
213,13.092417780875758,6.827165242445746
214,12.840273560576852,6.6629199503251275
215,13.426912069128624,6.617155757587695
216,13.141751399383775,6.994402370964325
217,13.184317817891367,6.765570001153567
218,13.004392042314144,6.708403192817673
219,12.996245694770389,6.654449296448453
220,13.001770213546088,6.563758472510993
221,13.112427281535089,6.743687050660103
222,13.171199808057109,6.827445723830592
223,13.156583777029699,6.828777901009589
224,13.43783087602063,7.009003213639874
225,13.11818774044118,6.6180105437318
226,13.19231950662046,6.638724933394706
227,13.466357190835437,6.824432667470868
228,13.155255986463633,6.784112261051063
229,13.51199408844686,7.0031736926575565
230,13.63348621578828,7.019699541826196
231,12.951848951848602,6.866356991682474
232,13.713890151264438,6.931316335009625
233,13.506811708017436,7.024286691305195
234,13.986656817620094,7.161829689205648
235,13.472030861345795,6.864684177397925
236,13.779317976767718,7.105105663621136
237,13.577684020690633,7.107963360268292
238,13.712016026606241,6.87637965084678
239,13.900839452397312,7.063032576818054
240,14.104692898767976,7.301554346142721
241,14.01833508846508,7.391804084853458
242,13.79389951399745,7.1328861293265176
243,13.268402009029684,7.259370333224766
244,13.566069434555725,7.222168777930194
245,14.446264228536254,7.389841357509181
246,14.043204470532768,7.515663417623711
247,13.878311772280144,7.368368531346799
248,13.954043536839894,7.13231755048447
249,13.867939451663798,7.0359743902569605
250,14.236812683262512,7.523063058775817
251,13.755294335761743,7.1818987471487965
252,13.610254759236335,7.2795416307672385
