N,R,E
1,1.0,0.0
2,1.2555562691291395,0.7666904457478396
3,1.611232823440517,0.7127187920593779
4,1.8477309819835008,0.9548555494945142
5,1.9522178270367343,0.9384742997855463
6,2.0502571238806,1.1723524142665542
7,2.6507606654228617,1.2462754806195202
8,2.548718097092941,1.1397703374656005
9,2.866802649711785,1.3672077359646349
10,2.994271622425158,1.5048856520183873
11,3.117800444961195,1.507353173365078
12,2.96107877316773,1.7844698439834863
13,3.196197905919781,1.6769502484140506
14,3.4393297635458038,1.578835293931525
15,3.354978184394645,1.8334564614569855
16,3.5509783390728087,1.8879773207827666
17,3.472790806117861,1.7173005727340473
18,3.9075692919917846,2.0391692550069633
19,3.9626726028389614,1.9672819068797904
20,3.5355686335559424,1.9117405634106113
21,3.959502020543746,1.9938824405674203
22,4.277955865497739,2.0775188444348767
23,4.0886896289719115,2.3760141601255045
24,4.366489579146839,2.396477924528844
25,4.273340708101579,2.228439988962393
26,4.793848506139984,2.38100958947696
27,4.6075138411452565,2.5472582055401127
28,4.345833829718566,2.0844341217026754
29,4.857504717377708,2.436943659557981
30,4.693704930034527,2.269102326927386
31,4.897382127841304,2.658158154971142
32,4.7900905718795075,2.585649364535525
33,5.152501401239531,3.0456931236299747
34,4.948242011192922,2.5593065483939363
35,5.194130712427175,2.7278592712313747
36,5.070316721267578,2.788334131608825
37,5.899705806971217,2.9892149646858783
38,5.47013552609969,2.741968909262666
39,5.188154508171381,2.6122563670770096
40,5.236475597663039,2.9026051312967667
41,5.796046597820736,3.052851498885851
42,5.960103730691681,3.059727954343174
43,6.406154903453936,3.435227961356076
44,5.178010847783263,3.120911036354808
45,6.310013304490049,3.078241286535244
46,6.055995758182666,3.4609485015877213
47,6.116623936788755,2.997128747995632
48,5.964980956939488,3.172253490057621
49,6.414604776548053,3.348338993634571
50,5.778822209290935,2.8725016992405585
51,6.350626335174274,3.236702118283497
52,6.409661726510654,3.2810667346491904
53,6.024081066924671,3.0393341001132006
54,6.499918436839507,3.4566704959510104
55,6.793630282908273,3.217926887756025
56,6.65272077514067,3.246339377035592
57,6.669607671615617,3.9040359683016965
58,6.694739193082149,3.8434713226425763
59,7.01002637854125,3.646659495192472
60,6.795182283447672,3.3976098528327348
61,6.721340987722236,3.7069948853529215
62,7.138631902986653,3.4395252432854413
63,7.062812605479525,3.4158227238658494
64,7.361317372506977,3.46541723413491
65,7.643646527194866,4.322084502294568
66,7.257834508933284,3.2089058296164636
67,7.111449502783273,3.5737317791150987
68,7.820095812474683,4.006814507629857
69,7.295178871325965,3.431933695121863
70,7.430970225402044,3.8168689163082585
71,7.257373832755043,3.9967274490711526
72,7.92490952886524,4.140986241089667
73,7.640470557773829,4.47766029890044
74,7.741123832229332,4.478364861445746
75,7.566020721527551,3.9080537030381093
76,7.634352174472819,3.895360515393069
77,8.094499597482807,4.15618419093935
78,7.889524653612596,3.9991192464640806
79,7.825917469875923,3.9385994861419644
80,7.3089647251398295,4.152688887110166
81,7.245483740743537,3.91254329257163
82,7.903258195398775,4.14655218173252
83,7.684747316689402,4.118750449520023
84,7.628697724896887,4.333705196754226
85,8.566840501149468,4.055284979646162
86,8.071023926039425,4.1553770602861215
87,7.670787531702772,4.183372901129903
88,7.832382171498891,3.7470424890548255
89,8.828411931925757,3.83793358304091
90,8.225563395894177,4.299245037018373
91,8.17741852921267,4.03374818996801
92,8.546254841701222,3.961204799364131
93,8.079748252189502,4.053991226316739
94,7.42521773272439,3.724889667876303
95,9.481746873684552,4.631138195477106
96,8.860824535601703,4.1012981401955715
97,8.63866675844264,4.494126278037134
98,8.65719389821664,4.731122884344411
99,8.925817881176863,4.810724779446855
